Meat,Type,Sandwich,Calories,TotalFat_g,Sodium_mg,CaloriesFromFat,SaturatedFat_g,TransFat_g,Cholesterol_mg,Carbohydrates_g,Fiber_g,Sugars_g,Protein_g,Restaurant
Ham,Sandwich,Arby-Q Sandwich,400,10,1230,90,3.0,0.0,30,58,3,23,18,Arby's
Ham,Crossover,Arby’s Melt,330,11,920,100,4.0,0.0,30,40,2,5,18,Arby's
Beef,Crossover,Beef ‘n Cheddar Classic,440,18,1290,160,5.0,1.0,45,47,2,9,23,Arby's
Beef,Crossover,Beef ‘n Cheddar Mid,530,23,1720,200,7.0,1.0,80,48,2,9,34,Arby's
Beef,Burger,Jr Deluxe Sandwich,260,12,560,110,3.0,0.0,30,26,2,4,13,Arby's
Beef,Crossover,Roast Beef Classic,350,12,950,110,4.0,1.0,45,39,2,5,23,Arby's
Beef,Crossover,Roast Beef Max,580,22,1870,200,9.0,1.0,110,49,3,6,45,Arby's
Beef,Crossover,Roast Beef Mid,440,17,1380,150,6.0,1.0,75,40,2,5,33,Arby's
Beef,Crossover,Super Roast Beef,430,17,1060,160,5.0,1.0,45,45,3,11,23,Arby's
Beef,Sandwich,Reuben Sandwich,640,30,1610,270,8.0,0.0,55,62,4,7,32,Arby's
Turkey,Sandwich,Roast Turkey & Swiss Sandwich,700,27,1770,250,7.0,0.0,80,77,5,18,39,Arby's
Turkey,Wrap,Roast Turkey & Swiss Wrap,500,24,1500,220,6.0,1.0,80,43,8,6,35,Arby's
Turkey,Sandwich,"Roast Turkey, Ranch & Bacon Sandwich",800,36,2200,320,9.0,1.0,105,78,5,18,45,Arby's
Turkey,Wrap,"Roast Turkey, Ranch & Bacon Wrap",600,32,1940,290,9.0,1.0,105,44,8,6,41,Arby's
Chicken,Burger,Chicken Bacon & Swiss – Crispy,610,30,1400,270,7.0,0.0,75,51,3,8,33,Arby's
Chicken,Burger,Chicken Cordon Bleu – Crispy,620,32,1710,280,7.0,0.0,90,48,3,6,37,Arby's
Chicken,Sandwich,Crispy Chicken Sandwich A,540,27,990,240,4.5,0.0,55,48,3,8,27,Arby's
Chicken,Nuggets,Prime-Cut Chicken Tenders (3),350,17,970,150,3.0,0.0,45,25,2,0,25,Arby's
Chicken,Nuggets,Prime-Cut Chicken Tenders (5),590,28,1610,250,4.0,0.0,75,42,4,0,42,Arby's
Fish,Sandwich,Classic Fish Sandwich,570,25,1010,230,4.0,0.0,45,64,2,9,21,Arby's
Beef,Crossover,Crispy Onion Mighty Minis- Roast Beef,550,30,1260,270,7.0,1.0,55,47,2,6,23,Arby's
Beef,Crossover,French Dip & Swiss/Au Jus,430,14,2120,130,6.0,1.0,55,52,2,3,26,Arby's
Ham,Just Meat,Ham & Swiss Melt,300,9,1030,80,4.0,0.0,35,37,2,6,18,Arby's
Fish,Just Meat,KING’S HAWAIIAN Fish Deluxe Sandwich,790,36,1140,320,12.0,1.0,125,89,3,24,28,Arby's
Beef,Crossover,Original Mighty Minis - Roast Beef,380,14,980,130,4.5,0.5,50,40,2,5,22,Arby's
